Client,Project,Project Code,Start Date,End Date,Project Notes
Acme Corp,Website Redesign,ACME-WEB-01,01-01-2026,30-06-2026,Full marketing site refresh with new brand
Acme Corp,Mobile App MVP,ACME-MOB-02,15-02-2026,15-08-2026,iOS and Android pilot for internal sales team
Globex Industries,ERP Migration,GLBX-ERP-01,01-03-2026,31-12-2026,Move legacy on-prem ERP to cloud
Globex Industries,Data Warehouse,GLBX-DWH-02,01-04-2026,30-09-2026,Build Snowflake warehouse for finance team
Initech Solutions,Office Productivity Audit,INIT-AUD-01,10-01-2026,28-02-2026,Workflow audit and tooling recommendations
Initech Solutions,Helpdesk Revamp,INIT-HLP-02,01-03-2026,30-04-2026,Replace ticketing system and define SLAs
Stark Industries,Smart Factory Phase 1,STRK-IOT-01,15-01-2026,15-07-2026,IoT sensor rollout across production line
Stark Industries,Energy Dashboard,STRK-NRG-02,01-02-2026,31-05-2026,Real-time consumption dashboard for plants
Wayne Enterprises,Security Compliance,WAYN-SEC-01,01-01-2026,30-06-2026,SOC 2 Type II prep across all business units
Wayne Enterprises,Investor Portal,WAYN-INV-02,15-03-2026,15-09-2026,Quarterly reporting portal for institutional LPs
Umbrella Health,Patient Records Migration,UMBR-PHR-01,01-02-2026,31-07-2026,Move EHR from vendor A to vendor B
Umbrella Health,Telehealth Launch,UMBR-TEL-02,15-04-2026,15-10-2026,Stand up telehealth offering in 3 states
Hooli Tech,Search Algorithm Rewrite,HOOL-SCH-01,10-01-2026,31-12-2026,Replace legacy search with vector-based ranking
Hooli Tech,Developer Portal,HOOL-DEV-02,01-03-2026,,Public docs and SDK portal; end date TBD
Pied Piper,Compression Engine V3,PIED-ENG-01,01-01-2026,30-04-2026,Next-gen middle-out compression release
Pied Piper,Distributed Cloud Beta,PIED-CLD-02,01-05-2026,30-11-2026,Beta launch for distributed storage cloud
Soylent Foods,Supply Chain Optimization,SOYL-SCM-01,15-01-2026,15-06-2026,Reduce logistics cost across distribution centers
Soylent Foods,Brand Refresh Campaign,SOYL-BRD-02,01-03-2026,31-05-2026,Q2 marketing push for new product line
Cyberdyne Systems,Robotics R&D Sprint,CYBR-RND-01,01-02-2026,31-08-2026,Six-month autonomous-systems prototype
Cyberdyne Systems,Cybersecurity Hardening,CYBR-SEC-02,15-03-2026,15-09-2026,Penetration testing and remediation across stack
